"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 20 05:59:14 GMT 2024","Sat Apr 20 05:59:23 GMT 2024","8605","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"failed","Sat Apr 20 05:59:08 GMT 2024","Sat Apr 20 05:59:14 GMT 2024","5840","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"failed","Sat Apr 20 05:59:00 GMT 2024","Sat Apr 20 05:59:05 GMT 2024","4331","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"failed","Sat Apr 20 05:58:54 GMT 2024","Sat Apr 20 05:59:00 GMT 2024","6044","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Sat Apr 20 05:58:54 GMT 2024","Sat Apr 20 05:58:54 GMT 2024","191","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"failed","Sat Apr 20 05:59:14 GMT 2024","Sat Apr 20 05:59:14 GMT 2024","595","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"failed","Sat Apr 20 05:59:23 GMT 2024","Sat Apr 20 05:59:29 GMT 2024","6279","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Sat Apr 20 05:58:52 GMT 2024","Sat Apr 20 05:58:52 GMT 2024","227","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Sat Apr 20 05:58:50 GMT 2024","Sat Apr 20 05:58:51 GMT 2024","787","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"failed","Sat Apr 20 05:59:05 GMT 2024","Sat Apr 20 05:59:08 GMT 2024","3317","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Sat Apr 20 05:58:52 GMT 2024","Sat Apr 20 05:58:53 GMT 2024","202","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Sat Apr 20 05:58:53 GMT 2024","Sat Apr 20 05:58:54 GMT 2024","207","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Sat Apr 20 05:58:54 GMT 2024","Sat Apr 20 05:58:54 GMT 2024","195","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Sat Apr 20 05:58:52 GMT 2024","Sat Apr 20 05:58:52 GMT 2024","194","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Sat Apr 20 05:58:53 GMT 2024","Sat Apr 20 05:58:53 GMT 2024","196","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"failed","Sat Apr 20 05:59:29 GMT 2024","Sat Apr 20 05:59:35 GMT 2024","5307","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Sat Apr 20 05:58:54 GMT 2024","Sat Apr 20 05:58:54 GMT 2024","184","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Sat Apr 20 05:58:51 GMT 2024","Sat Apr 20 05:58:52 GMT 2024","636","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
