"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 11:29:30 GMT 2024","Fri Oct 11 11:29:31 GMT 2024","759","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"failed","Fri Oct 11 11:30:13 GMT 2024","Fri Oct 11 11:30:28 GMT 2024","15140","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Fri Oct 11 11:29:59 GMT 2024","Fri Oct 11 11:30:13 GMT 2024","13116","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Fri Oct 11 11:30:28 GMT 2024","Fri Oct 11 11:30:43 GMT 2024","15017","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Fri Oct 11 11:29:31 GMT 2024","Fri Oct 11 11:29:31 GMT 2024","228","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Fri Oct 11 11:29:32 GMT 2024","Fri Oct 11 11:29:32 GMT 2024","230","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Fri Oct 11 11:30:56 GMT 2024","Fri Oct 11 11:31:09 GMT 2024","13546","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Fri Oct 11 11:29:56 GMT 2024","Fri Oct 11 11:29:59 GMT 2024","3911","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Fri Oct 11 11:29:31 GMT 2024","Fri Oct 11 11:29:31 GMT 2024","204","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Fri Oct 11 11:30:43 GMT 2024","Fri Oct 11 11:30:56 GMT 2024","12785","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Fri Oct 11 11:29:31 GMT 2024","Fri Oct 11 11:29:32 GMT 2024","195","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"passed","Fri Oct 11 11:29:29 GMT 2024","Fri Oct 11 11:29:30 GMT 2024","1014","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"failed","Fri Oct 11 11:29:33 GMT 2024","Fri Oct 11 11:29:51 GMT 2024","17638","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Fri Oct 11 11:29:51 GMT 2024","Fri Oct 11 11:29:56 GMT 2024","4801","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"passed","Fri Oct 11 11:29:32 GMT 2024","Fri Oct 11 11:29:33 GMT 2024","189","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"passed","Fri Oct 11 11:29:31 GMT 2024","Fri Oct 11 11:29:31 GMT 2024","228","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Fri Oct 11 11:29:33 GMT 2024","Fri Oct 11 11:29:33 GMT 2024","186","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Fri Oct 11 11:29:33 GMT 2024","Fri Oct 11 11:29:33 GMT 2024","177","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
