"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 11:28:17 GMT 2024","Fri Oct 04 11:28:18 GMT 2024","870","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Fri Oct 04 11:28:18 GMT 2024","Fri Oct 04 11:28:18 GMT 2024","124","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Fri Oct 04 11:28:18 GMT 2024","Fri Oct 04 11:28:19 GMT 2024","118","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Fri Oct 04 11:28:19 GMT 2024","Fri Oct 04 11:28:20 GMT 2024","113","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Fri Oct 04 11:29:22 GMT 2024","Fri Oct 04 11:29:32 GMT 2024","10194","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Fri Oct 04 11:28:19 GMT 2024","Fri Oct 04 11:28:19 GMT 2024","159","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"failed","Fri Oct 04 11:28:56 GMT 2024","Fri Oct 04 11:29:09 GMT 2024","12788","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Fri Oct 04 11:28:19 GMT 2024","Fri Oct 04 11:28:19 GMT 2024","106","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"passed","Fri Oct 04 11:29:09 GMT 2024","Fri Oct 04 11:29:22 GMT 2024","13021","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Fri Oct 04 11:29:32 GMT 2024","Fri Oct 04 11:29:43 GMT 2024","11378","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Fri Oct 04 11:28:18 GMT 2024","Fri Oct 04 11:28:18 GMT 2024","121","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Fri Oct 04 11:28:19 GMT 2024","Fri Oct 04 11:28:19 GMT 2024","121","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Fri Oct 04 11:28:19 GMT 2024","Fri Oct 04 11:28:19 GMT 2024","133","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"passed","Fri Oct 04 11:28:36 GMT 2024","Fri Oct 04 11:28:41 GMT 2024","4461","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"passed","Fri Oct 04 11:28:41 GMT 2024","Fri Oct 04 11:28:44 GMT 2024","3338","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"failed","Fri Oct 04 11:28:20 GMT 2024","Fri Oct 04 11:28:36 GMT 2024","16695","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Fri Oct 04 11:28:18 GMT 2024","Fri Oct 04 11:28:18 GMT 2024","502","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Fri Oct 04 11:28:44 GMT 2024","Fri Oct 04 11:28:56 GMT 2024","11844","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
