"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 11:28:25 GMT 2024","Mon Sep 09 11:28:25 GMT 2024","570","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Mon Sep 09 11:28:49 GMT 2024","Mon Sep 09 11:28:52 GMT 2024","3354","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Mon Sep 09 11:28:26 GMT 2024","Mon Sep 09 11:28:26 GMT 2024","171","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"failed","Mon Sep 09 11:28:27 GMT 2024","Mon Sep 09 11:28:45 GMT 2024","18002","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Mon Sep 09 11:28:26 GMT 2024","Mon Sep 09 11:28:26 GMT 2024","136","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Mon Sep 09 11:29:16 GMT 2024","Mon Sep 09 11:29:28 GMT 2024","12395","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 09 11:28:45 GMT 2024","Mon Sep 09 11:28:49 GMT 2024","3983","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"passed","Mon Sep 09 11:28:27 GMT 2024","Mon Sep 09 11:28:27 GMT 2024","323","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Mon Sep 09 11:28:52 GMT 2024","Mon Sep 09 11:29:03 GMT 2024","10711","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Mon Sep 09 11:28:25 GMT 2024","Mon Sep 09 11:28:26 GMT 2024","190","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Mon Sep 09 11:28:26 GMT 2024","Mon Sep 09 11:28:26 GMT 2024","131","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"passed","Mon Sep 09 11:28:24 GMT 2024","Mon Sep 09 11:28:25 GMT 2024","771","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Mon Sep 09 11:28:26 GMT 2024","Mon Sep 09 11:28:27 GMT 2024","133","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Mon Sep 09 11:28:25 GMT 2024","Mon Sep 09 11:28:25 GMT 2024","139","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Mon Sep 09 11:29:28 GMT 2024","Mon Sep 09 11:29:38 GMT 2024","9816","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Mon Sep 09 11:28:26 GMT 2024","Mon Sep 09 11:28:26 GMT 2024","143","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"failed","Mon Sep 09 11:29:03 GMT 2024","Mon Sep 09 11:29:16 GMT 2024","12756","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Mon Sep 09 11:29:38 GMT 2024","Mon Sep 09 11:29:49 GMT 2024","10974","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
