"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 17 11:28:24 GMT 2025","Fri Jan 17 11:28:24 GMT 2025","241","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Fri Jan 17 11:28:23 GMT 2025","Fri Jan 17 11:28:24 GMT 2025","206","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"failed","Fri Jan 17 11:28:27 GMT 2025","Fri Jan 17 11:28:28 GMT 2025","258","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Fri Jan 17 11:28:25 GMT 2025","Fri Jan 17 11:28:25 GMT 2025","177","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Fri Jan 17 11:28:25 GMT 2025","Fri Jan 17 11:28:25 GMT 2025","168","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"failed","Fri Jan 17 11:28:27 GMT 2025","Fri Jan 17 11:28:27 GMT 2025","293","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Fri Jan 17 11:28:21 GMT 2025","Fri Jan 17 11:28:22 GMT 2025","1108","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"failed","Fri Jan 17 11:28:28 GMT 2025","Fri Jan 17 11:28:28 GMT 2025","268","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"failed","Fri Jan 17 11:28:28 GMT 2025","Fri Jan 17 11:28:28 GMT 2025","300","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Fri Jan 17 11:28:23 GMT 2025","Fri Jan 17 11:28:23 GMT 2025","194","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Fri Jan 17 11:28:23 GMT 2025","Fri Jan 17 11:28:23 GMT 2025","206","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Fri Jan 17 11:28:24 GMT 2025","Fri Jan 17 11:28:24 GMT 2025","205","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"failed","Fri Jan 17 11:28:27 GMT 2025","Fri Jan 17 11:28:27 GMT 2025","261","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Fri Jan 17 11:28:24 GMT 2025","Fri Jan 17 11:28:25 GMT 2025","176","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"failed","Fri Jan 17 11:28:26 GMT 2025","Fri Jan 17 11:28:27 GMT 2025","264","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"failed","Fri Jan 17 11:28:28 GMT 2025","Fri Jan 17 11:28:28 GMT 2025","255","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"failed","Fri Jan 17 11:28:25 GMT 2025","Fri Jan 17 11:28:26 GMT 2025","1285","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Fri Jan 17 11:28:22 GMT 2025","Fri Jan 17 11:28:23 GMT 2025","714","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
