"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 28 11:29:00 GMT 2024","Sat Sep 28 11:29:14 GMT 2024","13310","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Sat Sep 28 11:29:27 GMT 2024","Sat Sep 28 11:29:37 GMT 2024","10510","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Sat Sep 28 11:28:09 GMT 2024","Sat Sep 28 11:28:09 GMT 2024","145","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Sat Sep 28 11:29:37 GMT 2024","Sat Sep 28 11:29:49 GMT 2024","11532","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Sat Sep 28 11:28:08 GMT 2024","Sat Sep 28 11:28:08 GMT 2024","611","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Sat Sep 28 11:28:40 GMT 2024","Sat Sep 28 11:28:45 GMT 2024","4765","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"failed","Sat Sep 28 11:28:10 GMT 2024","Sat Sep 28 11:28:40 GMT 2024","30151","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Sat Sep 28 11:28:09 GMT 2024","Sat Sep 28 11:28:10 GMT 2024","176","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Sat Sep 28 11:28:10 GMT 2024","Sat Sep 28 11:28:10 GMT 2024","143","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"passed","Sat Sep 28 11:29:14 GMT 2024","Sat Sep 28 11:29:27 GMT 2024","12968","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Sat Sep 28 11:28:10 GMT 2024","Sat Sep 28 11:28:10 GMT 2024","137","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Sat Sep 28 11:28:08 GMT 2024","Sat Sep 28 11:28:09 GMT 2024","179","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Sat Sep 28 11:28:09 GMT 2024","Sat Sep 28 11:28:09 GMT 2024","138","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Sat Sep 28 11:28:07 GMT 2024","Sat Sep 28 11:28:08 GMT 2024","856","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Sat Sep 28 11:28:49 GMT 2024","Sat Sep 28 11:29:00 GMT 2024","11499","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Sat Sep 28 11:28:45 GMT 2024","Sat Sep 28 11:28:49 GMT 2024","3738","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Sat Sep 28 11:28:10 GMT 2024","Sat Sep 28 11:28:10 GMT 2024","130","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Sat Sep 28 11:28:09 GMT 2024","Sat Sep 28 11:28:09 GMT 2024","127","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
