"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 21 11:28:20 GMT 2024","Sat Sep 21 11:28:20 GMT 2024","287","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"failed","Sat Sep 21 11:28:19 GMT 2024","Sat Sep 21 11:28:20 GMT 2024","263","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"failed","Sat Sep 21 11:28:18 GMT 2024","Sat Sep 21 11:28:19 GMT 2024","1361","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"failed","Sat Sep 21 11:28:20 GMT 2024","Sat Sep 21 11:28:20 GMT 2024","249","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"failed","Sat Sep 21 11:28:21 GMT 2024","Sat Sep 21 11:28:21 GMT 2024","250","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"failed","Sat Sep 21 11:28:19 GMT 2024","Sat Sep 21 11:28:19 GMT 2024","271","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"passed","Sat Sep 21 11:28:15 GMT 2024","Sat Sep 21 11:28:16 GMT 2024","742","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Sat Sep 21 11:28:17 GMT 2024","Sat Sep 21 11:28:17 GMT 2024","177","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Sat Sep 21 11:28:17 GMT 2024","Sat Sep 21 11:28:17 GMT 2024","122","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"passed","Sat Sep 21 11:28:16 GMT 2024","Sat Sep 21 11:28:16 GMT 2024","122","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Sat Sep 21 11:28:17 GMT 2024","Sat Sep 21 11:28:17 GMT 2024","130","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"failed","Sat Sep 21 11:28:20 GMT 2024","Sat Sep 21 11:28:21 GMT 2024","292","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Sat Sep 21 11:28:17 GMT 2024","Sat Sep 21 11:28:17 GMT 2024","116","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"failed","Sat Sep 21 11:28:20 GMT 2024","Sat Sep 21 11:28:20 GMT 2024","245","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Sat Sep 21 11:28:17 GMT 2024","Sat Sep 21 11:28:18 GMT 2024","108","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Sat Sep 21 11:28:16 GMT 2024","Sat Sep 21 11:28:17 GMT 2024","146","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Sat Sep 21 11:28:16 GMT 2024","Sat Sep 21 11:28:16 GMT 2024","558","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Sat Sep 21 11:28:16 GMT 2024","Sat Sep 21 11:28:16 GMT 2024","150","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
