"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 23 11:28:34 GMT 2024","Mon Sep 23 11:28:34 GMT 2024","256","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Mon Sep 23 11:28:30 GMT 2024","Mon Sep 23 11:28:30 GMT 2024","140","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"failed","Mon Sep 23 11:28:34 GMT 2024","Mon Sep 23 11:28:34 GMT 2024","287","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"failed","Mon Sep 23 11:28:33 GMT 2024","Mon Sep 23 11:28:33 GMT 2024","267","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"failed","Mon Sep 23 11:28:33 GMT 2024","Mon Sep 23 11:28:34 GMT 2024","268","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Mon Sep 23 11:28:30 GMT 2024","Mon Sep 23 11:28:31 GMT 2024","117","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"failed","Mon Sep 23 11:28:34 GMT 2024","Mon Sep 23 11:28:35 GMT 2024","255","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"failed","Mon Sep 23 11:28:35 GMT 2024","Mon Sep 23 11:28:35 GMT 2024","258","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Mon Sep 23 11:28:31 GMT 2024","Mon Sep 23 11:28:31 GMT 2024","199","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Mon Sep 23 11:28:30 GMT 2024","Mon Sep 23 11:28:30 GMT 2024","430","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Mon Sep 23 11:28:30 GMT 2024","Mon Sep 23 11:28:30 GMT 2024","230","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Mon Sep 23 11:28:31 GMT 2024","Mon Sep 23 11:28:31 GMT 2024","107","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"failed","Mon Sep 23 11:28:35 GMT 2024","Mon Sep 23 11:28:35 GMT 2024","261","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Mon Sep 23 11:28:31 GMT 2024","Mon Sep 23 11:28:32 GMT 2024","136","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Mon Sep 23 11:28:29 GMT 2024","Mon Sep 23 11:28:30 GMT 2024","803","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Mon Sep 23 11:28:31 GMT 2024","Mon Sep 23 11:28:31 GMT 2024","125","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Mon Sep 23 11:28:31 GMT 2024","Mon Sep 23 11:28:31 GMT 2024","128","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"failed","Mon Sep 23 11:28:32 GMT 2024","Mon Sep 23 11:28:33 GMT 2024","1463","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
