"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 11:28:57 GMT 2024","Mon Sep 30 11:28:58 GMT 2024","884","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Mon Sep 30 11:29:00 GMT 2024","Mon Sep 30 11:29:00 GMT 2024","173","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Mon Sep 30 11:29:26 GMT 2024","Mon Sep 30 11:29:37 GMT 2024","10884","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Mon Sep 30 11:28:59 GMT 2024","Mon Sep 30 11:28:59 GMT 2024","160","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Mon Sep 30 11:29:49 GMT 2024","Mon Sep 30 11:30:02 GMT 2024","12922","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 11:29:00 GMT 2024","Mon Sep 30 11:29:00 GMT 2024","147","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"passed","Mon Sep 30 11:29:00 GMT 2024","Mon Sep 30 11:29:00 GMT 2024","128","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Mon Sep 30 11:30:02 GMT 2024","Mon Sep 30 11:30:12 GMT 2024","10147","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"failed","Mon Sep 30 11:29:01 GMT 2024","Mon Sep 30 11:29:18 GMT 2024","17226","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Mon Sep 30 11:29:00 GMT 2024","Mon Sep 30 11:29:00 GMT 2024","142","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"failed","Mon Sep 30 11:29:37 GMT 2024","Mon Sep 30 11:29:49 GMT 2024","12512","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Mon Sep 30 11:28:59 GMT 2024","Mon Sep 30 11:28:59 GMT 2024","121","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
"passed","Mon Sep 30 11:30:12 GMT 2024","Mon Sep 30 11:30:24 GMT 2024","11728","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Mon Sep 30 11:29:22 GMT 2024","Mon Sep 30 11:29:26 GMT 2024","3470","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Mon Sep 30 11:28:58 GMT 2024","Mon Sep 30 11:28:59 GMT 2024","544","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Mon Sep 30 11:28:59 GMT 2024","Mon Sep 30 11:28:59 GMT 2024","132","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Mon Sep 30 11:28:59 GMT 2024","Mon Sep 30 11:28:59 GMT 2024","135","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Mon Sep 30 11:29:18 GMT 2024","Mon Sep 30 11:29:22 GMT 2024","4513","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
